expression; size; sliced on; concrete slice; concrete size; concrete time (ns) ; sign slice; sign size;sign time ; parity slice; parity size; parity time 
(let* ((jln (if #t (+ (if #t (+ 22 -1) (- -24 7)) -14) 17)) (ve -13) (ctx (* 5 0)) (l -19) (zu 8)) (- jln (begin (set! zu (* -13 -20)) ve -18 -23)));36;7;(let* ((ctx (* 5 0))) '());6;100;(let* ((ctx (* 5 0))) '());6;200;(let* ((ctx (* 5 0))) '());6;200
(let* ((xggqto (- (if #t 19 7) (if #f (if #f (begin -3 7) 27) 19))) (kjqu (begin (if (< 13 8) -30 -9) 9 28 16)) (vpcqyn (let ((qux -18)) qux)) (snae (* 8 -16)) (lc 30) (fdnmff 13)) (begin (set! lc (* 15 (* (+ 5 (- fdnmff (/ 28 (/ lc (- (+ -12 kjqu) 24))))) (- xggqto 9)))) (set! lc lc) -26 (+ (- kjqu snae) -15)));76;-5;(let* ((xggqto (dummy 2)) (kjqu (begin 16)) (vpcqyn (let ((qux -18)) qux)) (lc 30) (fdnmff 13)) (begin (set! lc (* 15 (* (+ 5 (- fdnmff (/ 28 (/ lc (- (+ -12 kjqu) 24))))) (- xggqto 9)))) (set! lc lc)));43;200;(let* ((xggqto (dummy 3)) (kjqu (begin 16)) (vpcqyn (let ((qux -18)) qux)) (lc 30) (fdnmff 13)) (begin (set! lc (* 15 (* (+ 5 (- fdnmff (/ 28 (/ lc (- (+ -12 kjqu) 24))))) (- xggqto 9)))) (set! lc lc)));43;200;(let* ((xggqto (dummy 2)) (kjqu (begin 16)) (vpcqyn (let ((qux -18)) qux)) (lc 30) (fdnmff 13)) (begin (set! lc (* 15 (* (+ 5 (- fdnmff (/ 28 (/ lc (- (+ -12 kjqu) 24))))) (- xggqto 9))))));41;200
(let* ((lg -11) (remo -23) (qsv -26) (bpycz -25)) (begin (set! remo (begin (set! lg -30) remo)) (if #f lg (- (* (- (+ (* lg -22) 9) bpycz) (+ lg (+ -21 remo))) remo)) -16 13));38;27;(let* ((remo -23) (bpycz -25)) (begin (set! remo (begin remo))));7;200;(let* ((remo -23) (bpycz -25)) (begin (set! remo (begin remo))));7;200;(let* ((bpycz -25)) '());3;200
(letrec* ((kd (begin -29 3)) (rfcb (/ -12 -9)) (i (letrec* ((rdrot -19)) 27)) (s (begin 1 2)) (vggxk (- -10 -7)) (mzdj -6)) (if (< (+ (- (- -23 4) (* i -28)) (/ s -13)) kd) (begin (set! rfcb (if #t (* 12 (if #f vggxk vggxk)) (if #t (if #f -1 (/ 8 (* (- (/ (- -9 mzdj) (- s (/ -29 (* mzdj kd)))) 20) vggxk))) -12))) (set! rfcb (+ (+ 8 5) -5)) 27 17 (+ (* (/ mzdj -17) vggxk) 12)) (begin (/ s (+ 25 -21)) kd -28)));111;0;(letrec* ((kd (begin 3)) (i (letrec* () 27)) (s (begin 2)) (mzdj -6)) '());9;200;(letrec* ((kd (begin 3)) (i (letrec* () 27)) (s (begin 2)) (mzdj -6)) '());9;400;(letrec* ((kd (begin 3)) (i (letrec* () 27)) (s (begin 2)) (mzdj -6)) '());9;100
(let* ((tx (+ 20 (if #t 8 (begin -15 4)))) (q (letrec* ((mynvz -8)) (- (+ 0 mynvz) 28))) (j -7) (ea -7) (fwuj 22)) 7);23;22;(let* ((q (letrec* ((mynvz -8)) (- (+ 0 mynvz) 28))) (j -7)) '());12;200;(let* ((q (letrec* ((mynvz -8)) (- (+ 0 mynvz) 28))) (j -7)) '());12;200;(let* ((q (letrec* ((mynvz -8)) (- (+ 0 mynvz) 28))) (j -7)) '());12;200
(let ((w 21) (m 22) (vwtwt (letrec* ((euvih 23)) (+ -9 9))) (a (if #f -9 -18)) (tl 13) (s -8)) -27);16;9;(let ((vwtwt (letrec* () (+ -9 9))) (a (if #f -9 -18))) '());11;200;(let ((vwtwt (letrec* () (+ -9 9))) (a (if #f -9 -18))) '());11;300;(let ((vwtwt (letrec* () (+ -9 9))) (a (if #f -9 -18))) '());11;100
(let* ((s (begin (let* () 25) (if #f -28 -4) 23 -18)) (jw (- 16 (begin 7 11))) (rvj (- (* -17 14) (if #f -30 -9))) (mpmjb (if #f -23 -2)) (icjhq -19)) 8);32;-15;(let* ((s (begin -18))) '());4;100;(let* ((s (begin -18))) '());4;200;(let* ((s (begin -18))) '());4;200
(let* ((lo -8) (wrleq (if (= -28 -22) -7 (/ 8 29))) (oo -4) (s 7)) (begin (begin (+ 27 -14) 9 wrleq) (- 4 oo) (set! wrleq 30) (* 7 wrleq) wrleq));33;20;(let* ((lo -8)) '());3;100;(let* ((lo -8)) '());3;300;(let* ((lo -8)) '());3;200
(let* ((fceqf (begin 6 3)) (mgd (+ (+ (/ -11 7) (let () 28)) (begin 5 12 18))) (jmip (- -3 (/ 24 12))) (ielk -16) (b (+ 2 25)) (rsr -8)) (begin (if #f (if #f -11 ielk) jmip) (/ (- 26 -14) 24) (+ (* ielk (- jmip (* -22 -27))) 29) (set! fceqf -22) (+ ielk (+ mgd (* -8 (/ 12 fceqf))))));74;11;(let* ((mgd (+ (+ (/ -11 7) (let () 28)) (begin 18))) (rsr -8)) '());15;200;(let* ((mgd (+ (+ (/ -11 7) (let () 28)) (begin 18))) (rsr -8)) '());15;200;(let* ((mgd (+ (+ (/ -11 7) (let () 28)) (begin 18))) (rsr -8)) '());15;400
(let ((liwz (- -25 (if #t (if #t -6 16) (if #f -30 -13)))) (flrawf (if (= 0 -24) (begin 12 -6) -17)) (mrnlak (* (if #f 9 -9) -3)) (llpn 28) (gt -3)) (if (= 20 -3) (if (< -3 mrnlak) (begin (+ (if #f mrnlak (* liwz liwz)) (+ gt -29)) (+ (* (- flrawf liwz) (/ (/ liwz -28) 2)) gt) 15 (/ -4 8)) mrnlak) (- (let* ((h gt) (gr gt)) flrawf) (if #t (+ (begin -24 -22) (- 21 5)) (/ gt (/ 11 (+ -12 24)))))));105;3;(let ((flrawf (dummy 0)) (mrnlak (* (if #f 9 -9) -3)) (llpn 28) (gt -3)) (if (= 20 -3) '() (- (let* () flrawf) (if #t (+ (begin -22) (- 21 5)) (/ gt (/ 11 (+ -12 24)))))));43;200;(let ((flrawf (dummy -2)) (mrnlak (* (if #f 9 -9) -3)) (llpn 28) (gt -3)) (if (= 20 -3) '() (- (let* () flrawf) (if #t (+ (begin -22) (- 21 5)) (/ gt (/ 11 (+ -12 24)))))));43;200;(let ((flrawf (dummy 0)) (mrnlak (* (if #f 9 -9) -3)) (llpn 28) (gt -3)) (if (= 20 -3) '() (- (let* () flrawf) (if #t (+ (begin -22) (- 21 5)) (/ gt (/ 11 (+ -12 24)))))));43;100
